name	iso3	gl	family	likely	script	population	literacy	cldr	id	plural	ordinal	num	chars	quot
Tatar	tat	tata1255	turk1311	tt-Cyrl-RU	Cyrl	1992970	99.7	false	tt					
Tuvalu	tvl	tuva1244	aust1307	tvl-Latn-TV	Latn	9973	95	false	tvl					
Tahitian	tah	tahi1242	aust1307	ty-Latn-PF	Latn	88450	98	false	ty					
Tuvinian	tyv	tuvi1240	turk1311	tyv-Cyrl-RU	Cyrl	185062	99.7	false	tyv					
Central Atlas Tamazight	tzm	cent2194	afro1255	tzm-Latn-MA	Latn	3298269	25	true	tzm	29		latn	58	0
Udmurt	udm	udmu1245	ural1272	udm-Cyrl-RU	Cyrl	540949	99.7	false	udm					
Uyghur	uig	uigh1240	turk1311	ug-Arab-CN	Arab	7554471	95.1	true	ug	0		latn	5	19
Ukrainian	ukr	ukra1253	indo1319	uk-Cyrl-UA	Cyrl	35880225	99.4	true	uk	26	18	latn	12	4
Urdu	urd	urdu1245	indo1319	ur-Arab-PK	Arab	255240200	56.9	true	ur	4	0	latn	6	2
Uzbek	uzb	uzbe1247	turk1311	uz-Latn-UZ	Latn	25052560	99.4	true	uz	0	0	latn	59	20
Uzbek	uzb	uzbe1247	turk1311	uz-Arab-AF	Arab	1566604	28.1	true	uz-Arab	0	0	arabext	7	0
Uzbek	uzb	uzbe1247	turk1311		Cyrl	4421040	99.4	true	uz-Cyrl	0	0	latn	13	0
Venda	ven	vend1245	atla1278	ve-Latn-ZA	Latn	1248917	50	false	ve	0				
Vietnamese	vie	viet1252	aust1305	vi-Latn-VN	Latn	81924460	93.4	true	vi	6	7	latn	60	0
Waray	war	wara1300	aust1307	war-Latn-PH	Latn	2976096	95.4	false	war					
Ndzwani Comorian	wni	ndzw1235	atla1278	wni-Arab-KM	Arab	270191	75.5	false	wni					
Wolof	wol	nucl1347	atla1278	wo-Latn-SN	Latn	10024070	49.7	false	wo	6				
Xhosa	xho	xhos1239	atla1278	xh-Latn-ZA	Latn	9774126	50	false	xh	0				
Yoruba	yor	yoru1245	atla1278	yo-Latn-NG	Latn	24186890	61.3	true	yo	6		latn	61	0
Zhuang	zha	nort3180	taik1256	za-Latn-CN	Latn	4257974	95.1	false	za					
Ngazidja Comorian	zdj	ngaz1238	atla1278	zdj-Arab-KM	Arab	294031	75.5	false	zdj					
Chinese	zho	sini1245	sino1245	zh-Hans-CN	Hans	1240637933	95.1	true	zh	6	0	latn	0	0
Traditional Chinese	zho	sini1245	sino1245	zh-Hant-TW	Hant	29686067	95.5	true	zh-Hant	6	0	latn	0	13
Zulu	zul	zulu1248	atla1278	zu-Latn-ZA	Latn	13032168	50	true	zu	2	0	latn	62	0
